,Fine,On Fire,Burned Out,Clusters
0,7310,51,142,56
1,7229,45,229,55
2,7165,30,308,54
3,7103,37,363,57
4,7066,27,410,53
5,7027,24,452,52
6,6952,45,506,55
7,6885,27,591,55
8,6838,32,633,57
9,6754,42,707,59
10,6681,43,779,59
11,6572,62,869,60
12,6480,59,964,63
13,6390,47,1066,63
14,6340,30,1133,61
15,6309,20,1174,63
16,6267,27,1209,60
17,6205,31,1267,62
18,6138,36,1329,61
19,6071,38,1394,62
20,6032,24,1447,61
21,5982,25,1496,64
22,5941,17,1545,64
23,5925,9,1569,66
24,5898,13,1592,65
25,5854,22,1627,69
26,5800,33,1670,66
27,5779,11,1713,66
28,5750,15,1738,65
29,5733,7,1763,66
30,5716,8,1779,66
31,5703,10,1790,67
32,5692,8,1803,67
33,5669,15,1819,66
34,5625,22,1856,68
35,5605,10,1888,69
36,5600,4,1899,68
37,5598,2,1903,68
38,5597,1,1905,68
39,5594,3,1906,68
40,5582,9,1912,67
41,5556,18,1929,67
42,5548,4,1951,67
43,5543,5,1955,67
44,5520,16,1967,69
45,5517,1,1985,68
46,5514,0,1989,68
