,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,241,440,687,910,1134,1521,1154,871,681,400,266
1,238,431,672,895,1109,1493,1130,854,670,393,263
2,235,419,652,881,1087,1465,1106,836,656,381,258
3,229,401,631,856,1059,1421,1081,810,640,371,249
4,223,388,616,829,1036,1379,1055,790,621,360,243
5,222,383,610,814,1015,1356,1029,767,611,356,241
6,217,374,593,796,993,1324,1015,748,599,348,238
7,205,366,576,784,957,1289,984,719,585,341,230
8,198,352,567,753,929,1247,950,706,563,332,222
9,194,340,546,732,896,1213,924,690,544,321,215
10,185,330,528,700,865,1181,901,671,538,316,209
11,178,317,512,673,842,1131,875,646,521,304,199
12,173,302,496,642,800,1087,843,626,502,291,195
13,171,297,473,618,776,1048,823,605,490,287,188
14,168,287,452,605,743,1009,802,585,472,273,185
15,161,273,432,582,708,964,770,561,445,266,181
16,156,264,422,556,680,923,748,544,422,254,173
17,153,256,408,530,655,883,723,515,406,245,169
18,145,248,396,510,629,856,700,494,389,239,160
19,143,233,375,487,609,818,674,481,379,230,152
20,134,223,366,465,576,786,643,465,360,218,147
21,128,215,348,452,553,761,620,448,353,212,139
22,124,211,337,440,530,730,602,430,343,205,132
23,115,206,323,423,511,691,573,409,327,200,126
24,110,193,307,399,484,658,545,389,314,191,124
25,103,184,294,385,461,631,534,359,300,177,121
26,102,180,285,370,444,612,510,340,287,169,121
27,100,173,271,355,425,594,490,326,276,161,120
28,92,167,260,336,399,564,454,309,260,158,115
29,84,155,250,321,375,530,428,292,247,148,107
30,79,149,240,306,344,487,412,279,236,141,99
31,69,134,220,288,303,438,377,245,216,128,88
32,62,119,192,264,276,398,344,220,188,112,80
33,57,106,162,236,252,363,307,197,166,104,68
34,45,99,141,215,219,327,275,178,139,99,57
35,35,86,117,184,191,282,237,153,123,88,50
36,32,71,92,160,167,225,180,129,108,72,40
37,27,56,71,124,139,179,144,103,85,59,32
38,16,47,53,104,111,155,114,80,71,48,26
39,14,34,43,76,92,118,89,59,57,41,21
40,10,23,34,62,73,97,68,45,41,31,18
41,10,19,25,53,58,86,57,37,33,27,18
42,9,14,22,45,48,75,49,32,27,24,11
43,9,11,21,42,44,67,42,29,25,22,9
44,9,10,20,40,39,64,40,29,25,19,8
45,8,8,16,36,35,56,37,25,23,17,7
46,7,8,15,29,32,54,32,23,21,10,7
47,6,7,14,29,27,48,30,22,21,10,7
48,5,7,11,26,25,47,27,21,21,10,7
49,5,6,9,24,25,43,27,20,20,9,7
50,5,6,8,23,21,40,27,15,18,7,7
51,5,6,8,22,21,36,27,15,18,7,7
52,5,6,8,22,21,34,27,15,17,7,7
53,5,6,8,20,20,34,26,14,16,7,7
54,5,5,8,17,18,31,23,14,16,6,7
55,5,5,8,17,18,30,22,13,15,6,6
56,5,5,8,17,18,30,22,13,13,6,6
