,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,229,354,610,825,1038,1284,1002,823,625,330,241
1,226,350,600,816,1025,1266,991,816,616,327,241
2,226,346,592,807,1018,1250,982,803,610,324,237
3,222,346,589,799,1012,1240,972,796,606,321,237
4,220,345,586,795,1007,1225,963,794,602,320,236
5,218,342,583,791,1001,1216,957,789,599,319,236
6,217,341,576,781,994,1207,951,782,596,318,234
7,215,338,568,774,981,1193,944,772,588,309,230
8,215,338,567,767,974,1188,935,768,583,308,227
9,214,337,561,754,965,1173,926,760,574,305,227
10,208,332,556,747,955,1163,914,754,570,299,226
11,207,327,550,738,938,1147,899,749,561,297,221
12,207,323,541,729,924,1131,885,741,551,288,219
13,202,317,529,718,914,1117,872,724,544,283,217
14,201,312,522,709,907,1106,865,713,539,280,216
15,200,311,520,708,902,1097,854,707,537,278,215
16,199,309,513,706,898,1088,850,703,535,278,215
17,196,305,507,700,887,1080,842,699,530,276,214
18,193,302,500,696,876,1073,835,691,527,269,212
19,189,299,492,690,866,1066,827,680,523,265,212
20,189,299,487,685,856,1055,819,673,522,262,209
21,189,292,483,682,852,1048,812,663,517,262,207
22,189,290,483,675,847,1040,804,654,510,261,205
23,187,289,481,671,845,1038,802,650,508,259,204
24,187,288,479,669,842,1033,799,649,503,258,204
25,186,285,474,666,838,1028,793,646,502,256,202
26,182,282,472,656,830,1019,792,646,497,255,202
27,180,280,469,654,826,1011,786,637,496,251,200
28,179,278,468,650,821,1004,783,637,494,251,200
29,179,275,468,646,818,1000,780,634,493,250,197
30,179,274,466,644,817,996,775,633,493,250,197
31,179,273,464,642,816,996,771,632,493,250,197
32,178,272,462,640,816,995,769,631,492,248,197
33,177,269,462,638,814,992,767,631,490,248,196
34,174,267,462,631,810,984,760,630,487,247,195
35,174,263,458,630,808,979,754,626,484,245,194
36,174,262,457,630,806,979,750,625,484,244,193
37,174,262,456,630,805,979,750,624,484,243,193
38,174,262,455,630,805,979,749,624,484,243,193
39,174,262,455,630,804,979,749,624,484,243,193
40,172,261,455,629,804,978,748,624,484,243,193
41,171,259,453,626,801,975,747,623,483,243,193
42,170,259,452,625,801,972,739,620,481,241,192
43,169,259,452,624,801,971,739,620,480,241,192
44,168,258,451,624,798,968,737,619,480,241,192
45,168,257,450,623,798,964,732,617,480,241,188
46,168,257,450,623,798,963,731,616,479,241,188
