,Fine,On Fire,Burned Out,Clusters
0,8273,70,136,8
1,8181,50,248,9
2,8111,33,335,10
3,8051,29,399,12
4,7994,31,454,14
5,7942,26,511,12
6,7897,23,559,13
7,7858,26,595,14
8,7831,17,631,14
9,7793,25,661,15
10,7763,16,700,16
11,7739,13,727,15
12,7708,19,752,15
13,7680,19,780,15
14,7636,27,816,16
15,7614,10,855,16
16,7602,7,870,16
17,7552,32,895,16
18,7515,20,944,16
19,7457,31,991,17
20,7394,35,1050,19
21,7352,26,1101,19
22,7316,15,1148,20
23,7273,24,1182,20
24,7208,38,1233,21
25,7158,36,1285,20
26,7066,50,1363,23
27,6933,73,1473,22
28,6801,71,1607,26
29,6717,54,1708,27
30,6642,42,1795,25
31,6532,67,1880,27
32,6350,93,2036,37
33,6152,109,2218,44
34,6033,72,2374,43
35,5903,74,2502,43
36,5789,62,2628,45
37,5697,51,2731,47
38,5525,86,2868,49
39,5405,63,3011,53
40,5263,81,3135,56
41,5108,83,3288,58
42,4985,59,3435,57
43,4894,50,3535,59
44,4838,36,3605,57
45,4776,43,3660,58
46,4699,44,3736,58
47,4608,52,3819,61
48,4518,43,3918,59
49,4425,53,4001,62
50,4334,51,4094,63
51,4230,64,4185,63
52,4167,38,4274,65
53,4100,34,4345,64
54,4015,58,4406,66
55,3917,46,4516,66
56,3887,22,4570,63
57,3821,28,4630,65
58,3792,22,4665,63
59,3753,26,4700,63
60,3706,23,4750,64
61,3669,21,4789,65
62,3602,38,4839,66
63,3555,22,4902,68
64,3499,37,4943,68
65,3466,17,4996,67
66,3430,19,5030,69
67,3405,15,5059,71
68,3363,20,5096,70
69,3338,11,5130,71
70,3301,23,5155,74
71,3250,31,5198,74
72,3203,31,5245,75
73,3154,28,5297,74
74,3108,23,5348,75
75,3054,33,5392,75
76,2994,29,5456,80
77,2926,36,5517,79
78,2870,31,5578,80
79,2818,29,5632,84
80,2783,18,5678,84
81,2749,13,5717,86
82,2726,13,5740,87
83,2698,14,5767,84
84,2677,11,5791,83
85,2662,6,5811,82
86,2652,7,5820,82
87,2645,4,5830,82
88,2640,4,5835,82
89,2630,6,5843,82
90,2617,7,5855,81
91,2600,8,5871,81
92,2585,9,5885,83
93,2576,7,5896,84
94,2570,2,5907,82
95,2570,0,5909,82
