,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,219,348,572,805,934,1207,1008,745,515,350,215
1,217,343,561,790,921,1186,996,739,505,347,211
2,215,340,551,784,908,1170,983,728,495,345,209
3,208,336,541,770,901,1152,962,715,488,338,205
4,204,328,535,758,880,1135,956,705,480,333,203
5,198,322,526,742,865,1115,937,691,472,328,201
6,195,314,518,731,844,1092,917,683,462,323,197
7,191,308,505,711,818,1065,891,672,456,314,191
8,189,298,494,696,793,1040,871,655,446,305,189
9,188,294,481,683,780,1022,858,633,432,299,185
10,185,289,477,676,768,1009,849,621,427,298,183
11,184,283,469,662,755,993,831,613,418,293,180
12,183,275,453,649,744,964,808,598,414,285,178
13,179,269,443,631,729,939,784,581,407,277,173
14,176,265,435,624,711,925,765,570,395,271,165
15,173,261,429,613,699,903,746,558,390,268,163
16,169,258,412,599,679,882,728,548,382,262,160
17,165,256,404,578,667,873,717,536,371,256,153
18,165,253,396,565,661,862,699,523,367,254,149
19,164,252,391,557,649,854,689,515,360,251,146
20,163,250,384,552,644,844,683,508,355,247,143
21,162,249,382,549,643,837,676,504,354,246,140
22,162,247,382,548,641,830,674,501,352,246,140
23,159,247,382,547,640,823,672,499,349,246,140
24,159,243,379,540,636,820,671,497,348,244,139
25,158,240,375,533,633,813,663,489,347,242,137
26,155,237,371,525,627,800,661,486,345,240,133
27,153,234,363,515,616,780,651,479,338,238,132
28,151,227,354,501,605,770,636,463,332,232,131
29,149,224,345,490,596,752,625,456,326,229,128
30,147,221,336,482,580,739,619,448,322,225,126
31,145,217,332,473,566,729,613,439,313,222,122
32,145,213,325,466,556,716,605,429,309,220,120
33,140,211,318,460,544,703,594,419,304,215,119
34,140,209,311,452,536,691,581,412,301,210,118
35,133,205,307,446,524,684,576,407,296,209,116
36,133,200,306,441,507,670,562,400,291,205,114
37,128,197,300,436,488,647,552,395,278,200,112
38,125,193,293,419,471,624,531,388,274,194,110
39,122,190,282,411,460,602,520,382,266,188,106
40,117,183,273,400,447,581,504,373,260,185,102
41,115,181,264,378,428,562,495,364,253,179,101
42,111,175,255,369,413,539,483,348,241,172,98
43,109,168,239,360,398,525,470,339,235,167,97
44,108,160,234,344,388,509,462,323,219,158,95
45,104,155,227,339,377,497,450,308,211,154,90
46,97,147,221,325,366,474,436,300,203,147,88
47,94,139,213,312,354,455,404,287,191,139,82
48,90,130,201,301,339,433,385,273,182,134,77
49,86,121,187,290,322,411,359,257,174,132,73
50,82,111,176,281,309,393,345,244,165,126,67
51,79,105,168,272,297,372,325,230,161,119,64
52,78,102,163,260,287,364,304,219,154,112,62
53,77,94,159,251,273,358,295,208,152,109,61
54,74,94,153,243,269,342,285,205,149,106,61
55,70,92,148,236,264,333,279,190,145,98,60
56,69,83,143,225,252,315,266,181,144,94,58
57,65,81,138,212,245,297,253,171,137,91,55
58,63,76,136,204,229,274,238,164,132,85,54
59,59,73,125,196,217,253,226,157,124,75,51
60,56,70,123,182,209,239,216,154,119,71,50
61,53,69,115,172,204,230,208,144,116,68,45
62,52,68,113,164,193,223,199,137,112,67,44
63,49,65,108,155,184,214,188,133,105,62,44
64,47,61,105,147,178,206,179,128,102,58,43
65,46,61,104,143,177,202,175,121,100,57,42
66,45,61,104,140,176,199,172,118,100,55,42
67,45,61,103,139,173,197,169,118,98,54,42
68,43,61,101,138,172,196,164,114,94,53,41
69,42,59,100,137,171,194,162,112,93,53,41
70,42,59,100,136,171,194,162,111,92,53,41
