,Fine,On Fire,Burned Out,Clusters
0,8212,93,162,10
1,8055,93,319,9
2,7859,117,491,11
3,7623,125,719,13
4,7451,89,927,10
5,7328,76,1063,11
6,7135,110,1222,11
7,6912,124,1431,14
8,6692,127,1648,15
9,6514,101,1852,12
10,6292,132,2043,14
11,6077,121,2269,11
12,5842,115,2510,13
13,5675,101,2691,13
14,5460,121,2886,17
15,5228,115,3124,17
16,5031,111,3325,20
17,4835,108,3524,20
18,4675,91,3701,22
19,4458,123,3886,22
20,4298,85,4084,22
21,4146,83,4238,21
22,3996,88,4383,24
23,3794,110,4563,21
24,3618,96,4753,27
25,3461,88,4918,27
26,3354,66,5047,27
27,3195,96,5176,29
28,3022,92,5353,28
29,2856,81,5530,30
30,2659,113,5695,27
31,2352,154,5961,33
32,2121,134,6212,34
33,1896,122,6449,34
34,1669,125,6673,37
35,1396,150,6921,43
36,1134,142,7191,46
37,899,120,7448,46
38,710,115,7642,51
39,568,76,7823,49
40,448,54,7965,48
41,387,36,8044,46
42,328,28,8111,47
43,306,15,8146,47
44,289,14,8164,47
45,250,18,8199,47
46,228,10,8229,48
47,209,12,8246,47
48,202,5,8260,46
49,184,11,8272,47
50,174,3,8290,47
51,169,3,8295,47
52,166,3,8298,47
53,159,4,8304,47
54,145,5,8317,47
55,143,2,8322,46
56,143,0,8324,46
