,Fine,On Fire,Burned Out,Clusters
0,6856,62,119,84
1,6755,61,221,83
2,6660,68,309,84
3,6561,55,421,82
4,6462,55,520,75
5,6320,77,640,82
6,6199,77,761,84
7,6025,97,915,82
8,5900,76,1061,80
9,5803,52,1182,77
10,5732,50,1255,75
11,5617,64,1356,79
12,5476,75,1486,83
13,5339,73,1625,82
14,5247,55,1735,85
15,5141,62,1834,84
16,5012,67,1958,87
17,4925,51,2061,87
18,4858,36,2143,84
19,4792,36,2209,86
20,4750,23,2264,85
21,4730,12,2295,84
22,4714,9,2314,84
23,4691,13,2333,84
24,4652,24,2361,83
25,4607,23,2407,84
26,4539,41,2457,86
27,4451,48,2538,86
28,4351,51,2635,86
29,4280,40,2717,90
30,4207,38,2792,87
31,4129,42,2866,91
32,4061,43,2933,90
33,3994,33,3010,86
34,3930,31,3076,84
35,3865,38,3134,91
36,3782,47,3208,89
37,3676,57,3304,91
38,3566,56,3415,90
39,3470,59,3508,89
40,3363,62,3612,88
41,3254,66,3717,91
42,3149,55,3833,91
43,3043,64,3930,92
44,2952,48,4037,89
45,2854,58,4125,96
46,2726,78,4233,103
47,2600,70,4367,105
48,2473,72,4492,112
49,2348,64,4625,108
50,2234,65,4738,111
51,2131,61,4845,113
52,2070,35,4932,112
53,2000,37,5000,109
54,1937,44,5056,110
55,1869,46,5122,111
56,1784,46,5207,116
57,1689,56,5292,112
58,1588,67,5382,115
59,1515,41,5481,113
60,1445,44,5548,116
61,1391,33,5613,117
62,1340,32,5665,116
63,1275,32,5730,114
64,1231,23,5783,113
65,1214,14,5809,116
66,1206,6,5825,114
67,1187,12,5838,115
68,1171,6,5860,114
69,1161,3,5873,113
70,1161,0,5876,113
