,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,243,415,642,903,1132,1516,1207,903,690,455,258
1,242,411,638,884,1115,1492,1187,894,680,442,254
2,238,407,630,871,1100,1470,1161,884,676,438,251
3,234,400,625,855,1081,1452,1136,871,669,431,245
4,230,390,611,837,1054,1415,1108,855,656,422,242
5,226,380,600,817,1035,1395,1080,842,639,416,238
6,223,373,586,806,1017,1376,1062,826,629,409,237
7,217,363,573,792,994,1348,1041,816,626,400,236
8,211,354,562,777,971,1325,1019,797,608,389,230
9,211,346,555,763,955,1298,992,774,599,383,227
10,208,343,547,748,941,1274,966,757,591,378,224
11,203,336,536,735,919,1236,941,747,576,369,218
12,197,329,525,725,904,1216,920,729,564,358,216
13,194,322,517,709,884,1191,898,719,552,351,211
14,188,314,507,690,868,1153,876,691,538,343,207
15,186,306,491,678,854,1129,859,676,531,332,203
16,182,295,479,663,840,1098,843,661,514,325,199
17,179,287,472,645,822,1074,819,649,501,320,198
18,177,279,454,621,797,1048,804,633,490,311,192
19,168,270,439,594,763,1008,771,606,473,297,181
20,164,267,428,579,740,978,740,586,459,290,176
21,160,258,416,564,730,950,719,567,451,284,170
22,158,255,405,553,711,932,698,551,439,279,168
23,157,250,394,536,696,905,678,536,427,275,165
24,152,241,385,525,687,885,659,520,411,267,162
25,144,235,373,516,669,861,646,504,399,260,158
26,140,224,363,495,650,831,627,486,380,252,153
27,137,214,350,471,628,794,598,455,374,247,147
28,129,206,336,453,607,761,570,431,365,235,141
29,126,192,321,436,580,727,541,409,351,222,133
30,118,188,302,414,543,695,509,396,330,212,131
31,105,174,283,392,510,666,484,369,307,196,127
32,96,168,258,364,480,628,448,351,291,184,120
33,87,157,238,339,452,579,414,325,269,166,115
34,84,153,227,323,429,556,394,302,256,161,108
35,82,147,220,308,400,524,380,294,246,156,104
36,74,135,206,285,357,482,357,266,217,146,93
37,69,124,184,258,327,439,321,243,194,137,85
38,60,113,170,234,298,397,295,214,175,122,80
39,57,101,155,219,277,365,268,200,151,113,73
40,53,93,138,201,247,338,243,173,137,100,63
41,46,85,125,176,220,302,220,157,124,89,52
42,41,78,103,157,190,277,198,147,106,78,45
43,34,64,94,136,172,255,173,126,90,72,41
44,27,52,84,124,152,228,156,114,82,59,35
45,27,45,78,113,138,197,137,97,72,54,28
46,25,42,72,104,121,176,127,82,64,47,24
47,23,40,64,92,108,152,108,76,57,40,21
48,23,34,60,85,86,138,95,67,52,36,19
49,20,29,49,70,70,120,78,51,44,29,17
50,16,23,45,68,64,107,67,44,38,25,14
51,14,23,43,61,60,96,64,40,37,22,14
52,14,23,42,60,57,92,61,36,35,21,14
53,14,23,41,59,57,92,61,36,33,21,14
