,Fine,On Fire,Burned Out,Clusters
0,8263,78,140,9
1,8167,53,261,9
2,8076,52,353,9
3,7975,54,452,11
4,7901,46,534,11
5,7768,80,633,13
6,7685,46,750,12
7,7623,41,817,12
8,7519,62,900,12
9,7423,46,1012,11
10,7341,51,1089,15
11,7253,46,1182,15
12,7162,59,1260,14
13,7046,60,1375,14
14,6922,64,1495,16
15,6821,69,1591,17
16,6693,75,1713,21
17,6602,58,1821,20
18,6493,63,1925,22
19,6397,58,2026,21
20,6242,83,2156,22
21,6054,102,2325,29
22,5915,75,2491,30
23,5793,74,2614,31
24,5654,80,2747,37
25,5512,91,2878,38
26,5373,89,3019,39
27,5266,53,3162,39
28,5180,47,3254,42
29,5098,42,3341,44
30,5057,17,3407,44
31,5011,25,3445,45
32,4977,25,3479,42
33,4912,29,3540,43
34,4874,24,3583,43
35,4846,17,3618,44
36,4796,26,3659,44
37,4722,39,3720,46
38,4642,36,3803,49
39,4548,39,3894,48
40,4479,33,3969,50
41,4444,22,4015,51
42,4403,20,4058,51
43,4377,15,4089,51
44,4335,26,4120,51
45,4282,28,4171,51
46,4222,32,4227,51
47,4182,21,4278,53
48,4160,9,4312,53
49,4158,2,4321,53
50,4153,4,4324,53
51,4146,4,4331,53
52,4130,9,4342,54
53,4118,6,4357,55
54,4099,9,4373,55
55,4096,2,4383,55
56,4094,2,4385,55
57,4083,6,4392,56
58,4076,5,4400,55
59,4062,7,4412,56
60,4054,2,4425,55
61,4051,3,4427,55
62,4051,0,4430,55
