,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,230,442,610,938,1190,1576,1120,930,664,405,246
1,227,437,596,926,1176,1555,1103,909,649,402,242
2,224,430,586,904,1161,1532,1087,898,640,396,239
3,221,420,578,889,1136,1507,1063,880,625,387,232
4,217,411,566,878,1117,1473,1029,867,616,383,230
5,211,404,556,854,1092,1444,1010,843,598,375,227
6,209,400,548,840,1078,1428,988,824,588,369,222
7,206,400,539,827,1062,1411,970,816,579,365,218
8,201,394,532,812,1046,1379,959,801,572,358,216
9,198,387,521,795,1029,1358,940,793,564,351,214
10,194,381,511,781,999,1336,925,777,556,350,207
11,191,376,503,762,980,1307,918,765,547,340,203
12,190,370,495,753,958,1288,897,751,541,334,202
13,188,364,486,742,944,1267,882,741,531,330,199
14,182,352,473,730,929,1239,863,725,519,323,194
15,177,348,465,711,905,1210,842,709,504,312,188
16,175,338,458,690,890,1188,816,697,491,307,182
17,172,331,448,665,872,1155,792,686,480,301,178
18,165,323,436,652,852,1132,774,670,470,293,173
19,161,314,429,642,840,1110,762,650,458,289,172
20,159,306,416,630,816,1085,752,635,443,282,165
21,155,299,406,619,796,1056,736,626,430,274,164
22,153,291,398,609,780,1038,720,612,422,267,159
23,150,283,392,595,764,1020,704,604,409,260,154
24,147,275,387,577,741,998,688,593,400,254,150
25,142,263,382,566,713,974,672,570,379,248,141
26,139,257,372,551,697,945,652,557,372,244,136
27,133,253,364,538,676,914,631,545,362,237,132
28,132,247,353,519,654,884,612,533,350,230,124
29,130,238,341,504,642,852,596,521,338,222,121
30,127,237,337,494,630,838,587,509,326,217,118
31,127,231,332,489,622,829,579,502,320,212,113
32,124,229,328,479,611,809,570,494,317,211,112
33,116,224,318,463,593,787,559,481,307,206,109
34,115,213,307,456,581,765,538,472,291,199,103
35,112,208,303,448,563,740,527,462,281,193,98
36,111,203,294,442,541,716,514,447,276,183,96
37,105,195,280,410,517,679,490,435,263,174,88
38,101,177,263,390,482,633,461,409,249,165,85
39,97,165,252,363,460,593,436,388,234,156,82
40,88,151,230,334,425,549,393,362,221,143,79
41,81,143,216,301,382,505,359,326,196,136,73
42,75,129,193,273,331,456,324,290,177,122,65
43,71,122,173,250,298,415,307,272,163,104,61
44,67,115,163,235,276,390,276,251,148,93,57
45,63,106,156,220,261,370,261,237,142,88,54
46,57,102,142,210,245,352,251,229,132,80,53
47,54,96,133,191,231,328,235,212,123,70,48
48,51,92,118,173,213,302,217,195,114,65,47
49,44,87,108,161,200,282,202,178,107,61,44
50,42,82,101,147,193,265,186,168,103,56,43
51,41,79,90,135,176,254,176,159,98,52,40
52,40,74,89,124,161,228,161,148,91,49,33
53,34,70,83,111,147,207,148,135,83,45,30
54,30,62,76,101,133,192,140,120,72,42,29
55,29,58,71,94,120,175,132,112,68,39,24
56,26,52,67,86,109,161,121,103,61,34,20
57,25,48,56,80,99,144,114,94,55,31,19
58,23,45,52,78,95,131,102,87,50,30,17
59,23,41,48,74,91,127,98,81,48,29,16
60,23,39,47,70,90,123,96,78,47,28,16
61,23,38,47,67,89,123,94,78,46,27,16
62,23,37,45,66,88,121,93,76,46,26,16
63,23,36,45,65,87,117,89,76,45,25,16
64,23,36,45,65,87,117,88,76,45,25,16
