,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,241,416,659,925,1138,1483,1181,920,665,447,266
1,235,411,653,915,1128,1456,1162,902,654,441,263
2,234,403,646,907,1115,1440,1147,892,649,436,259
3,234,397,640,897,1093,1423,1130,884,644,433,254
4,233,391,637,884,1081,1414,1115,872,636,432,252
5,232,386,627,871,1064,1396,1103,858,631,429,251
6,229,381,620,866,1049,1372,1082,839,622,424,247
7,229,376,616,859,1039,1361,1075,837,612,420,240
8,226,373,607,847,1028,1341,1066,828,610,416,239
9,221,368,593,837,1012,1320,1051,821,603,409,234
10,221,362,591,827,995,1310,1041,809,598,405,233
11,220,356,589,820,977,1294,1020,800,591,401,231
12,214,351,579,814,966,1281,1014,793,583,396,230
13,211,342,568,798,956,1260,998,784,569,392,228
14,209,332,559,784,942,1242,978,772,558,385,225
15,206,328,544,776,929,1225,965,761,554,380,222
16,204,325,533,761,910,1207,948,745,545,371,219
17,204,323,520,747,896,1187,933,730,539,367,214
18,203,319,514,737,881,1172,917,715,527,359,212
19,200,317,509,723,868,1152,907,700,519,352,208
20,197,311,501,704,851,1129,885,684,511,347,205
21,190,303,487,683,830,1095,863,670,493,340,202
22,182,293,478,670,805,1062,840,654,478,333,195
23,179,288,468,654,786,1046,831,640,460,324,191
24,176,276,457,638,767,1028,814,623,455,315,185
25,171,266,442,621,748,1010,796,606,450,312,181
26,166,254,433,601,729,987,774,596,437,308,177
27,164,250,418,586,708,969,748,575,427,299,175
28,161,249,412,571,697,953,732,568,421,292,171
29,158,245,402,565,689,930,721,557,415,290,168
30,157,240,397,558,682,914,713,550,408,289,166
31,155,239,393,554,674,909,708,546,407,287,164
32,154,238,390,548,671,906,705,540,401,285,164
33,152,236,386,540,665,895,696,532,396,281,162
34,151,233,383,538,655,889,690,526,393,280,160
35,149,233,381,533,652,885,684,522,388,279,157
36,148,232,378,525,648,882,674,520,383,278,154
37,146,229,374,521,640,865,668,508,380,278,152
38,145,227,368,510,623,852,658,500,372,277,146
39,141,222,358,503,606,836,645,493,370,270,143
40,140,218,349,497,595,822,634,481,365,268,143
41,139,215,343,495,592,810,628,475,365,265,139
42,137,212,339,490,588,805,619,472,359,265,137
43,137,212,333,489,582,801,617,467,356,262,136
44,136,211,330,483,577,798,613,465,353,260,135
45,134,209,328,476,567,788,607,458,352,257,134
46,132,207,325,468,558,778,600,453,347,255,131
47,131,206,322,462,554,768,591,447,343,253,126
48,131,204,319,460,550,763,584,442,341,250,125
49,131,204,318,460,550,759,584,441,339,250,124
50,131,204,317,460,550,759,584,440,339,249,124
51,131,204,315,459,550,757,584,438,339,249,124
52,130,204,314,456,550,757,581,438,337,249,123
53,130,204,312,454,550,751,579,437,336,249,122
54,129,203,310,453,547,749,577,434,336,249,121
55,129,203,309,453,545,748,576,433,334,247,121
56,129,203,308,453,545,748,575,433,334,247,121
57,129,202,308,453,543,747,575,432,332,247,121
58,128,201,308,452,542,745,574,432,331,247,121
59,127,201,307,450,541,744,574,430,328,247,120
60,127,201,305,450,538,742,572,427,328,246,120
61,127,201,305,449,538,742,572,427,328,246,119
62,127,201,305,449,538,742,570,427,328,245,119
