,Fine,On Fire,Burned Out,Clusters
0,8270,81,160,6
1,8152,70,289,8
2,8011,86,414,9
3,7853,85,573,10
4,7701,86,724,15
5,7526,88,897,18
6,7437,57,1017,16
7,7325,68,1118,15
8,7195,75,1241,21
9,7088,62,1361,21
10,6941,76,1494,26
11,6829,63,1619,21
12,6711,68,1732,22
13,6600,74,1837,25
14,6453,76,1982,24
15,6297,74,2140,25
16,6156,76,2279,28
17,5991,89,2431,30
18,5875,65,2571,35
19,5755,72,2684,35
20,5599,90,2822,35
21,5488,73,2950,35
22,5398,51,3062,35
23,5272,63,3176,35
24,5123,87,3301,38
25,4984,66,3461,41
26,4844,78,3589,46
27,4703,82,3726,46
28,4559,79,3873,54
29,4449,56,4006,50
30,4383,37,4091,48
31,4328,28,4155,50
32,4228,56,4227,52
33,4081,82,4348,57
34,3976,64,4471,54
35,3873,62,4576,53
36,3740,83,4688,57
37,3511,125,4875,64
38,3303,112,5096,66
39,3090,136,5285,72
40,2830,145,5536,71
41,2576,142,5793,79
42,2304,131,6076,87
43,2125,111,6275,77
44,2008,63,6440,74
45,1904,54,6553,75
46,1782,71,6658,74
47,1644,77,6790,78
48,1509,78,6924,81
49,1433,41,7037,77
50,1337,49,7125,78
51,1234,66,7211,79
52,1142,56,7313,83
53,1031,62,7418,85
54,949,48,7514,83
55,875,47,7589,86
56,802,38,7671,90
57,727,38,7746,90
58,692,18,7801,91
59,663,13,7835,88
60,653,4,7854,88
61,643,5,7863,88
62,631,6,7874,89
63,623,1,7887,89
64,623,0,7888,89
